spp,scd,dbh,dbh_cm,tht,tht_m,stm,stm_kg,brk,brk_kg,bch,bch_kg,fol,fol_kg,agb,agb_kg,lon,lat
Pinus echinata,110,4.6,11.684,31.6,9.631209997,39.1,17.7324263,7.54,3.419501134,7.65,3.469387755,7.31,3.315192744,61.6,27.93650794,-83.6,34.03
Pinus echinata,110,1.8,4.572,20.3,6.187138068,3.99,1.80952381,1.93,0.875283447,0.76,0.344671202,0.48,0.217687075,7.16,3.247165533,-83.6,34.03
Pinus echinata,110,4.9,12.446,36.3,11.06370009,52.26,23.70068027,8.27,3.750566893,8.94,4.054421769,9.07,4.113378685,78.54,35.61904762,-83.6,34.03
Pinus echinata,110,1.5,3.81,16,4.876562024,2.16,0.979591837,0.89,0.403628118,0.35,0.158730159,0.35,0.158730159,3.75,1.700680272,-83.6,34.03
Pinus echinata,110,2,5.08,23.2,7.071014934,6.62,3.002267574,1.75,0.793650794,0.86,0.390022676,0.62,0.281179138,9.85,4.467120181,-83.6,34.03
Pinus echinata,110,2.3,5.842,19.4,5.912831454,5.14,2.33106576,2.71,1.229024943,1.17,0.530612245,0.97,0.439909297,9.99,4.530612245,-83.6,34.03
Pinus echinata,110,2.5,6.35,22.8,6.949100884,7.31,3.315192744,2.69,1.219954649,1.31,0.594104308,0.75,0.340136054,12.06,5.469387755,-83.6,34.03
Pinus echinata,110,1.2,3.048,14.3,4.358427309,1.46,0.662131519,0.76,0.344671202,0.29,0.131519274,0.57,0.258503401,3.08,1.396825397,-83.6,34.03
Pinus echinata,110,2,5.08,21.6,6.583358732,5.87,2.662131519,1.97,0.893424036,0.48,0.217687075,0.93,0.421768707,9.25,4.195011338,-83.6,34.03
Pinus echinata,110,2.7,6.858,28.4,8.655897592,10.54,4.780045351,3.98,1.804988662,0.64,0.290249433,0.5,0.22675737,15.66,7.102040816,-83.6,34.03
Pinus echinata,110,3.9,9.906,34.9,10.63700091,34.29,15.55102041,12.13,5.501133787,3.41,1.546485261,1.9,0.861678005,51.73,23.46031746,-83.6,34.03
Pinus echinata,110,4.1,10.414,36.3,11.06370009,27.58,12.50793651,8.6,3.900226757,4.11,1.863945578,1.59,0.721088435,41.88,18.99319728,-83.6,34.03
Pinus echinata,110,4.9,12.446,41.7,12.70953977,54.93,24.91156463,14.12,6.403628118,4.14,1.87755102,3.76,1.70521542,76.95,34.89795918,-83.6,34.03
Pinus echinata,110,4.2,10.668,42,12.80097531,43.4,19.68253968,9.22,4.181405896,2.86,1.297052154,3.03,1.37414966,58.51,26.53514739,-83.6,34.03
Pinus echinata,110,3.7,9.398,31.8,9.692167022,24.37,11.0521542,6.97,3.160997732,2.34,1.06122449,2.18,0.988662132,35.86,16.26303855,-83.6,34.03
Pinus echinata,110,4.5,11.43,37.2,11.33800671,41.36,18.75736961,9.47,4.29478458,5.01,2.272108844,2.87,1.301587302,58.71,26.62585034,-83.6,34.03
Pinus echinata,110,4.7,11.938,36.3,11.06370009,47.22,21.41496599,13.91,6.308390023,5.38,2.439909297,5.2,2.358276644,71.71,32.52154195,-83.6,34.03
Pinus echinata,110,2.6,6.604,24.4,7.436757086,10.26,4.653061224,2.48,1.124716553,1.36,0.616780045,0.67,0.303854875,14.77,6.698412698,-84.18,34.44
Pinus echinata,110,3.3,8.382,29.2,8.899725693,19.7,8.934240363,4.97,2.253968254,1.92,0.870748299,1.15,0.52154195,27.74,12.58049887,-84.18,34.44
Pinus echinata,110,3,7.62,28.2,8.594940567,13.02,5.904761905,3.84,1.741496599,1.67,0.757369615,1.14,0.517006803,19.67,8.920634921,-84.18,34.44
Pinus echinata,110,1.1,2.794,13.3,4.053642182,0.67,0.303854875,0.32,0.145124717,0.39,0.176870748,0.29,0.131519274,1.67,0.757369615,-84.18,34.44
Pinus echinata,110,2.8,7.112,26.2,7.985370314,10.98,4.979591837,3.72,1.68707483,1.34,0.607709751,0.8,0.362811791,16.84,7.637188209,-84.18,34.44
Pinus echinata,110,2.1,5.334,26.2,7.985370314,7.69,3.487528345,2.34,1.06122449,0.85,0.385487528,0.75,0.340136054,11.63,5.274376417,-84.18,34.44
Pinus echinata,110,1.3,3.302,13.3,4.053642182,1.14,0.517006803,0.62,0.281179138,0.27,0.12244898,0.31,0.140589569,2.34,1.06122449,-84.18,34.44
Pinus echinata,110,4,10.16,32.4,9.875038098,31.11,14.10884354,7.29,3.306122449,3.62,1.641723356,2.32,1.052154195,44.34,20.10884354,-84.18,34.44
Pinus echinata,110,3.9,9.906,36.8,11.21609265,29.51,13.38321995,6.42,2.911564626,1.81,0.820861678,1.12,0.507936508,38.86,17.62358277,-84.18,34.44
Pinus echinata,110,4.7,11.938,34,10.3626943,48.97,22.20861678,10.33,4.684807256,5.74,2.603174603,5.43,2.462585034,70.47,31.95918367,-84.18,34.44
Pinus echinata,110,1.3,3.302,14.6,4.449862847,1.18,0.535147392,0.75,0.340136054,0.25,0.113378685,0.24,0.108843537,2.42,1.097505669,-84.18,34.44
Pinus echinata,110,1.1,2.794,9.8,2.98689424,1.04,0.471655329,0.51,0.231292517,0.42,0.19047619,0.56,0.253968254,2.53,1.14739229,-84.18,34.44
Pinus echinata,110,3.4,8.636,21.2,6.461444681,14.18,6.430839002,3.91,1.77324263,4.02,1.823129252,3.62,1.641723356,25.73,11.66893424,-84.18,34.44
Pinus echinata,110,1.5,3.81,13,3.962206644,1.77,0.802721088,0.9,0.408163265,0.4,0.181405896,0.4,0.181405896,3.47,1.573696145,-84.18,34.44
Pinus echinata,110,1.7,4.318,17,5.18134715,2.85,1.292517007,1.27,0.575963719,0.67,0.303854875,0.93,0.421768707,5.72,2.594104308,-84.18,34.44
